PERSON_LEGISLATIVE_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|BUSINESS_GROUP_ID|PERSON_ID|LEGISLATION_CODE|HIGHEST_EDUCATION_LEVEL|MARITAL_STATUS|MARITAL_STATUS_DATE|SEX|ATTRIBUTE_CATEGORY|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15|ATTRIBUTE16|ATTRIBUTE17|ATTRIBUTE18|ATTRIBUTE19|ATTRIBUTE20|ATTRIBUTE21|ATTRIBUTE22|ATTRIBUTE23|ATTRIBUTE24|ATTRIBUTE25|ATTRIBUTE26|ATTRIBUTE27|ATTRIBUTE28|ATTRIBUTE29|ATTRIBUTE30|PER_INFROMATION_CATEGORY|PER_INFORMATION1|PER_INFORMATION2|PER_INFORMATION3|PER_INFORMATION4|PER_INFORMATION5|PER_INFORMATION6|PER_INFORMATION7|PER_INFORMATION8|PER_INFORMATION9|PER_INFORMATION10|PER_INFORMATION11|PER_INFORMATION12|PER_INFORMATION13|PER_INFORMATION14|PER_INFORMATION15|PER_INFORMATION16|PER_INFORMATION17|PER_INFORMATION18|PER_INFORMATION19|PER_INFORMATION20|PER_INFORMATION21|PER_INFORMATION22|PER_INFORMATION23|PER_INFORMATION24|PER_INFORMATION25|PER_INFORMATION26|PER_INFORMATION27|PER_INFORMATION28|PER_INFORMATION29|PER_INFORMATION30|PER_INFORMATION_DATE1|PER_INFORMATION_DATE2|PER_INFORMATION_DATE3|PER_INFORMATION_DATE4|PER_INFORMATION_DATE5|PER_INFORMATION_DATE6|PER_INFORMATION_DATE7|PER_INFORMATION_DATE8|PER_INFORMATION_DATE9|PER_INFORMATION_DATE10|PER_INFORMATION_DATE11|PER_INFORMATION_DATE12|PER_INFORMATION_DATE13|PER_INFORMATION_DATE14|PER_INFORMATION_DATE15|PER_INFORMATION_NUMBER1|PER_INFORMATION_NUMBER2|PER_INFORMATION_NUMBER3|PER_INFORMATION_NUMBER4|PER_INFORMATION_NUMBER5|PER_INFORMATION_NUMBER6|PER_INFORMATION_NUMBER7|PER_INFORMATION_NUMBER8|PER_INFORMATION_NUMBER9|PER_INFORMATION_NUMBER10|PER_INFORMATION_NUMBER11|PER_INFORMATION_NUMBER12|PER_INFORMATION_NUMBER13|PER_INFORMATION_NUMBER14|PER_INFORMATION_NUMBER15|PER_INFORMATION_NUMBER16|PER_INFORMATION_NUMBER17|PER_INFORMATION_NUMBER18|PER_INFORMATION_NUMBER19|PER_INFORMATION_NUMBER20|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
L13|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P13|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L13
L14|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P14|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L14
L15|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P15|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L15
L16|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P16|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L16
L17|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P17|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L17
L18|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P18|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L18
L19|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P19|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L19
L20|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P20|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L20
L21|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P21|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L21
L22|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P22|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L22
L23|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P23|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L23
L24|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P24|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L24
L25|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P25|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L25
L26|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P26|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L26
L27|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P27|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L27
L28|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P28|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L28
L29|2009-12-21|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P29|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L29
L30|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P30|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L30
L31|2002-12-25|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P31|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L31
L32|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P32|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L32
L33|2003-01-27|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P33|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L33
L34|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P34|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L34
L35|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P35|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L35
L36|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P36|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L36
L37|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P37|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L37
L38|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P38|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L38
L39|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P39|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L39
L40|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P40|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L40
L41|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P41|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L41
L42|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P42|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L42
L43|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P43|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L43
L44|2002-03-12|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P44|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L44
L45|2002-03-29|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P45|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L45
L46|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P46|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L46
L47|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P47|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L47
L48|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P48|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L48
L49|2002-04-15|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P49|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L49
L50|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P50|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L50
L51|2002-04-01|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P51|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L51
L52|2002-04-01|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P52|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L52
L53|2002-04-01|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P53|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L53
L54|2002-04-01|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P54|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L54
L55|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P55|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L55
L56|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P56|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L56
L57|2002-04-08|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P57|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L57
L58|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P58|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L58
L59|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P59|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L59
L60|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P60|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L60
L61|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P61|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L61
L62|2002-04-01|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P62|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L62
L63|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P63|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L63
L64|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P64|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L64
L65|2002-04-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P65|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L65
L66|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P66|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L66
L67|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P67|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L67
L68|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P68|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L68
L69|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P69|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L69
L70|2002-04-19|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P70|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L70
L71|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P71|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L71
L72|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P72|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L72
L73|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P73|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L73
L74|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P74|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L74
L75|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P75|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L75
L76|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P76|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L76
L77|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P77|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L77
L78|2002-05-02|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P78|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L78
L79|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P79|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L79
L80|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P80|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L80
L81|2002-05-02|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P81|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L81
L82|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P82|KZ||||F||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L82
L83|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P83|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L83
L84|2002-05-02|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P84|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L84
L85|2002-05-02|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P85|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L85
L86|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P86|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L86
L87|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P87|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L87
L88|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P88|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L88
L89|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P89|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L89
L90|2002-05-17|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P90|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L90
L91|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P91|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L91
L92|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P92|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L92
L93|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P93|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L93
L94|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P94|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L94
L95|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P95|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L95
L96|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P96|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L96
L97|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P97|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L97
L98|2000-03-09|4712-12-31|188772AEC11AAD11E053A647660A0CF2|P98|KZ||||M||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||PERS_DATA_EFFDT|L98
