ORGANIZATION_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|NAME|LOCATION_ID|BUSINESS_GROUP_ID|SET_ID|LEGAL_ENTITY_ID|ESTABLISHMENT_ID|COST_ALLOCATION_KEYFLEX_ID|ACTION_OCCURENCE_ID|STATUS|INTERNAL_EXTERNAL_FLAG|INTERNAL_ADDRESS_LINE|ORGANIZATION_TYPE|ATTRIBUTE_CATEGORY|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15|ATTRIBUTE16|ATTRIBUTE17|ATTRIBUTE18|ATTRIBUTE19|ATTRIBUTE20|ATTRIBUTE21|ATTRIBUTE22|ATTRIBUTE23|ATTRIBUTE24|ATTRIBUTE25|ATTRIBUTE26|ATTRIBUTE27|ATTRIBUTE28|ATTRIBUTE29|ATTRIBUTE30|SOURCE_LANG|ACTION_OCCURRENCE_ID1|CLASSIFICATION_CODE|LEGISLATION_CODE|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
KTG_DEP_50879353|2000/03/08|2006/11/22|КТГ Отдел кадров|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_50879353
KTG_DEP_3478721351|2000/03/08|4712/12/31|КТГ Представительство в г. Москва|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_3478721351
KTG_DEP_1148361434|2000/03/08|2001/03/07|КТГ Планово - экономический|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_1148361434
KTG_DEP_131440002|2000/03/08|2006/11/20|КТГ Представительство в г. Бишкек|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_131440002
KTG_DEP_2085232674|2000/03/08|2001/02/09|КТГ По работе с персоналом|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_2085232674
KTG_DEP_2842413163|2000/03/08|2003/04/02|КТГ Отдел геологии и разработки|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_2842413163
KTG_DEP_1154468738|2000/03/08|2003/06/02|КТГ Представительство в г. Астана|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_1154468738
KTG_DEP_2127613205|2000/03/08|2003/03/29|КТГ Административно - хозяйственный отдел|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_2127613205
KTG_DEP_2847624683|2000/03/08|2009/07/16|КТГ Департамент по внешнеэкономическим связям|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_2847624683
KTG_DEP_289167041|2000/03/08|2003/04/02|КТГ Отдел бурения|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_289167041
KTG_DEP_3572596813|2000/03/08|2003/09/03|КТГ Управление бюджетного планирования и экономического анализа|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_3572596813
KTG_DEP_1258021662|2000/03/08|2000/05/16|КТГ Бухгалтерского учета и отчетности|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_1258021662
KTG_DEP_391763649|2000/03/08|2005/01/06|КТГ Департамент внутреннего контроля и аудита|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_391763649
KTG_DEP_2193576372|2000/03/08|2003/09/03|КТГ Административно- хозяйственный отдел|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_2193576372
KTG_DEP_1296784191|2000/03/08|4712/12/31|КТГ Секретариат Совета директоров|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_1296784191
KTG_DEP_3624815285|2000/03/08|2003/03/28|КТГ Экспертно - аналитический отдел|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_3624815285
KTG_DEP_464089727|2000/03/08|2009/07/28|КТГ Аппарат Генерального директора|BC_BOLASHAK|188772AEC11AAD11E053A647660A0CF2|19B73EDCB32C8603E053A647660A5518|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_464089727
