ACTION_OCCURRENCE_ID|ADDS_TO_BUDGET|ASSIGN_WORK_MEASURE_ID|ASSIGNMENT_ID|BUSINESS_GROUP_ID|FFECTIVE_START_DATE|EFFECTIVE_END_DATE|UNIT|VALUE|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
|Y|ASG_FTE_P239|ASSIG239||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P240|ASSIG240||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P241|ASSIG241||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P242|ASSIG242||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P243|ASSIG243||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P244|ASSIG244||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P245|ASSIG245||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P246|ASSIG246||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P247|ASSIG247||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P248|ASSIG248||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P249|ASSIG249||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P250|ASSIG250||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P251|ASSIG251||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P252|ASSIG252||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P253|ASSIG253||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P254|ASSIG254||2002-05-14|4712-12-31|FTE|1||
|Y|ASG_FTE_P255|ASSIG255||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P256|ASSIG256||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P257|ASSIG257||2002-05-06|4712-12-31|FTE|1||
|Y|ASG_FTE_P258|ASSIG258||2002-05-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P259|ASSIG259||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P260|ASSIG260||2002-05-07|4712-12-31|FTE|1||
|Y|ASG_FTE_P261|ASSIG261||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P262|ASSIG262||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P263|ASSIG263||2002-05-16|4712-12-31|FTE|1||
|Y|ASG_FTE_P264|ASSIG264||2002-05-14|4712-12-31|FTE|1||
|Y|ASG_FTE_P265|ASSIG265||2002-05-20|4712-12-31|FTE|1||
|Y|ASG_FTE_P266|ASSIG266||2002-05-23|4712-12-31|FTE|1||
|Y|ASG_FTE_P267|ASSIG267||2002-06-17|4712-12-31|FTE|1||
|Y|ASG_FTE_P269|ASSIG269||2002-07-08|4712-12-31|FTE|1||
|Y|ASG_FTE_P271|ASSIG271||2002-07-08|4712-12-31|FTE|1||
|Y|ASG_FTE_P272|ASSIG272||2002-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P273|ASSIG273||2002-07-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P274|ASSIG274||2002-07-10|4712-12-31|FTE|1||
|Y|ASG_FTE_P275|ASSIG275||2002-07-19|4712-12-31|FTE|1||
|Y|ASG_FTE_P276|ASSIG276||2002-08-09|4712-12-31|FTE|1||
|Y|ASG_FTE_P277|ASSIG277||2002-08-12|4712-12-31|FTE|1||
|Y|ASG_FTE_P278|ASSIG278||2002-08-15|4712-12-31|FTE|1||
|Y|ASG_FTE_P280|ASSIG280||2002-08-23|4712-12-31|FTE|1||
|Y|ASG_FTE_P281|ASSIG281||2002-09-12|4712-12-31|FTE|1||
|Y|ASG_FTE_P282|ASSIG282||2002-09-16|4712-12-31|FTE|1||
|Y|ASG_FTE_P283|ASSIG283||2002-09-04|4712-12-31|FTE|1||
|Y|ASG_FTE_P284|ASSIG284||2002-09-19|4712-12-31|FTE|1||
|Y|ASG_FTE_P285|ASSIG285||2002-09-23|4712-12-31|FTE|1||
|Y|ASG_FTE_P286|ASSIG286||2002-10-21|4712-12-31|FTE|1||
|Y|ASG_FTE_P287|ASSIG287||2002-11-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P288|ASSIG288||2002-10-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P289|ASSIG289||2002-12-06|4712-12-31|FTE|1||
|Y|ASG_FTE_P290|ASSIG290||2002-11-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P291|ASSIG291||2002-12-06|4712-12-31|FTE|1||
|Y|ASG_FTE_P292|ASSIG292||2002-11-14|4712-12-31|FTE|1||
|Y|ASG_FTE_P295|ASSIG295||2002-12-09|4712-12-31|FTE|1||
|Y|ASG_FTE_P296|ASSIG296||2003-01-06|4712-12-31|FTE|1||
|Y|ASG_FTE_P297|ASSIG297||2003-01-06|4712-12-31|FTE|1||
|Y|ASG_FTE_P298|ASSIG298||2003-01-13|4712-12-31|FTE|1||
|Y|ASG_FTE_P299|ASSIG299||2003-01-13|4712-12-31|FTE|1||
|Y|ASG_FTE_P300|ASSIG300||2003-01-24|4712-12-31|FTE|1||
|Y|ASG_FTE_P301|ASSIG301||2003-01-27|4712-12-31|FTE|1||
|Y|ASG_FTE_P302|ASSIG302||2003-01-24|4712-12-31|FTE|1||
|Y|ASG_FTE_P303|ASSIG303||2003-02-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P304|ASSIG304||2003-02-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P305|ASSIG305||2003-02-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P306|ASSIG306||2003-02-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P307|ASSIG307||2003-02-10|4712-12-31|FTE|1||
|Y|ASG_FTE_P308|ASSIG308||2003-02-18|4712-12-31|FTE|1||
|Y|ASG_FTE_P309|ASSIG309||2003-02-24|4712-12-31|FTE|1||
|Y|ASG_FTE_P310|ASSIG310||2003-02-20|4712-12-31|FTE|1||
|Y|ASG_FTE_P311|ASSIG311||2003-02-24|4712-12-31|FTE|1||
|Y|ASG_FTE_P312|ASSIG312||2003-02-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P313|ASSIG313||2003-03-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P314|ASSIG314||2003-03-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P315|ASSIG315||2003-03-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P316|ASSIG316||2003-03-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P317|ASSIG317||2003-03-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P318|ASSIG318||2003-03-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P319|ASSIG319||2003-03-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P320|ASSIG320||2003-03-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P321|ASSIG321||2003-03-19|4712-12-31|FTE|1||
|Y|ASG_FTE_P322|ASSIG322||2003-03-18|4712-12-31|FTE|1||
|Y|ASG_FTE_P324|ASSIG324||2003-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P325|ASSIG325||2003-04-08|4712-12-31|FTE|1||
|Y|ASG_FTE_P326|ASSIG326||2003-04-14|4712-12-31|FTE|1||
|Y|ASG_FTE_P327|ASSIG327||2003-04-21|4712-12-31|FTE|1||
|Y|ASG_FTE_P328|ASSIG328||2003-04-14|4712-12-31|FTE|1||
|Y|ASG_FTE_P330|ASSIG330||2003-04-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P331|ASSIG331||2003-04-21|4712-12-31|FTE|1||
|Y|ASG_FTE_P332|ASSIG332||2003-04-16|4712-12-31|FTE|1||
|Y|ASG_FTE_P333|ASSIG333||2003-04-21|4712-12-31|FTE|1||
|Y|ASG_FTE_P334|ASSIG334||2003-04-28|4712-12-31|FTE|1||
|Y|ASG_FTE_P335|ASSIG335||2003-05-04|4712-12-31|FTE|1||
|Y|ASG_FTE_P336|ASSIG336||2003-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P337|ASSIG337||2003-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P338|ASSIG338||2003-05-06|4712-12-31|FTE|1||
|Y|ASG_FTE_P339|ASSIG339||2003-05-06|4712-12-31|FTE|1||
|Y|ASG_FTE_P340|ASSIG340||2003-05-12|4712-12-31|FTE|1||
|Y|ASG_FTE_P342|ASSIG342||2003-05-28|4712-12-31|FTE|1||
|Y|ASG_FTE_P343|ASSIG343||2003-05-26|4712-12-31|FTE|1||
|Y|ASG_FTE_P344|ASSIG344||2003-06-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P345|ASSIG345||2003-06-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P346|ASSIG346||2003-06-16|4712-12-31|FTE|1||
|Y|ASG_FTE_P347|ASSIG347||2003-06-16|4712-12-31|FTE|1||
|Y|ASG_FTE_P348|ASSIG348||2003-06-23|4712-12-31|FTE|1||
|Y|ASG_FTE_P349|ASSIG349||2003-06-20|4712-12-31|FTE|1||
|Y|ASG_FTE_P350|ASSIG350||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P351|ASSIG351||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P352|ASSIG352||2003-07-09|4712-12-31|FTE|1||
|Y|ASG_FTE_P353|ASSIG353||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P354|ASSIG354||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P355|ASSIG355||2003-07-15|4712-12-31|FTE|1||
|Y|ASG_FTE_P357|ASSIG357||2003-07-15|4712-12-31|FTE|1||
|Y|ASG_FTE_P358|ASSIG358||2003-07-15|4712-12-31|FTE|1||
|Y|ASG_FTE_P359|ASSIG359||2003-07-14|4712-12-31|FTE|1||
|Y|ASG_FTE_P360|ASSIG360||2003-06-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P361|ASSIG361||2003-07-23|4712-12-31|FTE|1||
|Y|ASG_FTE_P362|ASSIG362||2003-07-23|4712-12-31|FTE|1||
|Y|ASG_FTE_P363|ASSIG363||2003-08-11|4712-12-31|FTE|1||
|Y|ASG_FTE_P364|ASSIG364||2003-08-11|4712-12-31|FTE|1||
