POSITION_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|BUSINESS_UNIT_ID|POSITION_CODE|BUSINESS_GROUP_ID|ORGANIZATION_ID|JOB_ID|LOCATION_ID|ENTRY_GRADE_ID|ENTRY_STEP_ID|ACTIVE_STATUS|SUPERVISOR_ID|SUPERVISOR_ASSIGNMENT_ID|ACTION_OCCURRENCE_ID|PERMANENT_TEMPORARY_FLAG|FTE|HIRING_STATUS|FULL_PART_TIME|FREQUENCY|TIME_NORMAL_START|TIME_NORMAL_FINISH|POSITION_TYPE|PROBATION_PERIOD_UNIT_CD|BARGAINING_UNIT_CD|MAX_PERSONS|WORKING_HOURS|OVERLAP_ALLOWED|SEASONAL_FLAG|PROBATION_PERIOD|SEASONAL_END_DATE|SECURITY_CLEARANCE|SEASONAL_START_DATE|ATTRIBUTE_CATEGORY|NAME|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
KTGA_POS_541|2009-05-13|2014-12-01|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_541|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_94|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||2|40||N||||||Менеджер Группа налогового учета и планирования|POSITION_DATA|KTGA_POS_541
KTGA_POS_546|2009-05-13|2013-06-19|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_546|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_80|KTGA_JOB_409|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||2|40||N||||||Главный менеджер Департамент инвестиционной политики|POSITION_DATA|KTGA_POS_546
KTGA_POS_551|2009-05-13|2014-12-01|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_551|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_50|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||6|40||N||||||Менеджер Канцелярия|POSITION_DATA|KTGA_POS_551
KTGA_POS_523|2009-05-13|2015-03-15|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_523|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_60|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||5|40||N||||||Менеджер Юридический департамент|POSITION_DATA|KTGA_POS_523
KTGA_POS_522|2009-05-13|2013-09-30|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_522|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_60|KTGA_JOB_409|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||2|40||N||||||Главный менеджер Юридический департамент|POSITION_DATA|KTGA_POS_522
KTGA_POS_540|2009-05-13|2014-12-21|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_540|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_70|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||4|40||N||||||Менеджер Центральная бухгалтерия|POSITION_DATA|KTGA_POS_540
KTGA_POS_549|2009-05-13|2010-06-30|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_549|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_75|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||2|40||N||||||Менеджер Департамент управления персоналом|POSITION_DATA|KTGA_POS_549
KTGA_POS_535|2009-05-13|2014-07-24|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_535|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_73|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||2|40||N||||||Менеджер Департамент управления активами|POSITION_DATA|KTGA_POS_535
KTGA_POS_534|2009-05-13|2014-07-24|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_534|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_73|KTGA_JOB_409|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||2|40||N||||||Главный менеджер Департамент управления активами|POSITION_DATA|KTGA_POS_534
KTGA_POS_548|2009-05-13|2013-06-19|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_548|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_80|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||3|40||N||||||Менеджер Департамент инвестиционной политики|POSITION_DATA|KTGA_POS_548
